Name,Speed,Reactants,Products,Modulus,Temps,States,Effects,Rek,Effect Color,
Ag_Br2,0.1,Ag-Br2,AgBr,2-1-2,300-800,1-2,BURN3,9,0xFFFFFF,
Ag_Cl2,0.3,Ag-Cl2,AgCl,2-1-2,90-900,1-3,BURN3,3.00,0xFFFFFF,
Ag_F2,0.1,Ag-F2,AgF,2-1-2,229-800,1-3,BURN3,4,0xFFFFFF,
Ag_H2SO4,0.3,Ag-H2SO4,Ag2SO4-SO2-H2,2-2-1-1-2,0-100,1-4,FALSE,0.01,0xFFFFFF,
Ag_HNO3,0.1,Ag-HNO3,AgNO3-NO2-H2O,1-2-1-1-1,4-4000,1-4,FALSE,0.003,0xFFFFFF,
Ag_HNO3_2,0.1,Ag-HNO3,AgNO3-NO-H2O,3-4-3-2-1,0-4000,1-4,FALSE,0.001,0xFFFFFF,
Ag_I2,0.1,Ag-I2,AgI,2-1-2,90-800,1-1.5,BURN3,3,0xFFFFFF,
Ag_S,0.1,Ag-S,Ag2S,2-1-1,40-900,1-1,FALSE,0.01,0xFFFFFF,
Ag2S_HNO3,0.12,Ag2S-HNO3,AgNO3-NO-S-H2O,1-8-6-2-3-4,0-900,1-4,FALSE,0.001,0xFFFFFF,
AgCl_NH3,0.8,AgCl-NH3,AgNH32Cl,1-2-1,0-999,1-4,FALSE,0,0xFFFFFF,
AgI,0.05,AgI,Ag-I2,2-2-1,5-2500,1,FALSE,0,0xFFFFFF,
AgNO3,0.05,AgNO3,Ag-O2-NO2,2-2-1-2,439-2500,1,FALSE,0,0xFFFFFF,
AgNO3_AlCl3,0.3,AgNO3-AlCl3,AgCl-AlNO33,3-1-3-1,0-100,4-4,FALSE,0.01,0xFFFFFF,
AgNO3_FeCl3,0.3,AgNO3-FeCl3,AgCl-FeNO33,3-1-3-1,0-100,4-4,FALSE,0,0xFFFFFF,
AgNO3_FeSO4,0.3,AgNO3-FeSO4,Ag2SO4-FeNO32,2-1-1-1,0-100,4-4,FALSE,0,0xFFFFFF,
AgNO3_H2S,0.3,AgNO3-H2S,Ag2S-HNO3,2-1-1-2,0-100,4-4,FALSE,0.01,0xFFFFFF,
AgNO3_HCl,0.3,AgNO3-HCl,AgCl-HNO3,1-1-1-1,0-100,4-4,FALSE,0.01,0xFFFFFF,
AgNO3_KCl,0.3,AgNO3-KCl,AgCl-KNO3,1-1-1-2,0-100,4-4,FALSE,0.01,0xFFFFFF,
AgNO3_KI,1.2,AgNO3-KI,AgI-KNO3,1-1-1-1,0-100,4-4,FALSE,0,0xFFFFFF,
AgNO3_KOH,0.5,AgNO3-KOH,Ag2O-KNO3-H2O,2-2-1-2-1,0-100,4-4,FALSE,0.01,0xFFFFFF,
AgNO3_MgCl2,0.3,AgNO3-MgCl2,MgNO32-AgCl,2-1-1-2,0-100,4-4,FALSE,0.01,0xFFFFFF,
AgNO3_NaCl,0.7,AgNO3-NaCl,AgCl-NaNO3,2-1-1-2,0-100,4-4,FALSE,0.01,0xFFFFFF,
AgNO3_NaOH,0.3,AgNO3-NaOH,Ag2O-NaNO3-H2O,2-2-1-2-1,0-100,4-4,FALSE,0.01,0xFFFFFF,
AgNO3_NH3,0.8,AgNO3-NH3,NH4NO3-Ag2O,2-2-2-1-1-2,0-999,4-4,FALSE,0,0xFFFFFF,H2O
Ag2O_NH3,0.3,Ag2O-NH3,AgNH32OH,1-4-2-4,0-999,1-4,FALSE,0,0xFFFFFF,H2O
Al_AgNO3,0.6,Al-AgNO3,AlNO33-Ag,1-1-1-1,0-400,1-4,FALSE,0,0xFFFFFF,
Al_Br2,0.8,Al-Br2,AlBr3,2-3-2,10-900,1.5-2,E1,1,0xFFFE46,
Al_CuCl2,0.6,Al-CuCl2,AlCl3-Cu,2-3-2-3,0-400,1-4,FALSE,0,0xFFFFFF,
Al_CuNO32,0.6,Al-CuNO32,AlNO33-Cu,2-3-2-3,0-400,1-4,FALSE,0,0xFFFFFF,
Al_CuSO4,0.8,Al-CuSO4,Al2SO43-Cu,2-3-1-3,0-999,1-4,FALSE,0,0xFFFFFF,
Al_CuSO4,0.6,Al-CuSO4,Al2SO43-Cu,2-3-1-3,0-400,1-4,FALSE,0,0xFFFFFF,
Al_Fe2O3,0.1,Al-Fe2O3,Al2O3-Fe,2-1-1-2,200-6900,1.5-1.5,BURN3,3.9,0xFFFF99,
Al_Fe2SO43,0.6,Al-Fe2SO43,Al2SO43-Fe,1-1-1-1,0-400,1-4,FALSE,0,0xFFFFFF,
Al_FeCl2,0.6,Al-FeCl2,AlCl3-Fe,2-3-2-3,0-400,1-4,FALSE,0,0xFFFFFF,
Al_FeCl3,0.6,Al-FeCl3,AlCl3-Fe,1-1-1-1,0-400,1-4,FALSE,0,0xFFFFFF,
Al_FeNO33,0.6,Al-FeNO33,AlNO33-Fe,1-1-1-1,0-400,1-4,FALSE,0,0xFFFFFF,
Al_FeO,0.05,Al-FeO,Al2O3-Fe,2-3-1-3,80-900,1.5-1.5,FALSE,0.001,0xFFFFFF,
Al_FeSO4,0.6,Al-FeSO4,Al2SO43-Fe,2-3-1-3,0-400,1-4,FALSE,0,0xFFFFFF,
Al_H2O,0.05,Al-H2O,AlOH3-H2,2-6-2-3,70-900,1-2,FALSE,1,0xFFFFFF,
Al_H2SO4,1,Al-H2SO4,Al2SO43-H2,2-3-1-3,10-400,1-4,BURN3,4,0xFFFFFF,
Al_HCl,0.2,Al-HCl,AlCl3-H2,2-6-2-3,0-150,1-4,FALSE,0.01,0xFFFFFF,
Al_HgNO32,1,Al-HgNO32,Hg-AlNO33,2-3-3-2,10-400,1-4,FALSE,1,0xFFFFFF,
Al_HgNO32,0.25,Al-HgNO32,Hg-AlNO33,2-3-3-2,0-900,1-4,FALSE,0.1,0xFFFFFF,
Al_HNO3,0.1,Al-HNO3,AlNO33-NO2-H2O,1-6-1-3-3,50-4000,1-4,FALSE,0.002,0xFFFFFF,
Al_KClO3,0.1,Al-KClO3,Al2O3-KCl,2-1-1-1,Ignite,1-1,BURN2,2,0xFFFFFF,
Al_MnO2,0.1,Al-MnO2,Al2O3-Mn,4-3-2-3,150-2900,1-1,FALSE,0.5,0xFFFFFF,
Al_NaOH,0.8,Al-NaOH,Al2O3-H2-Na2O,2-6-1-3-3,-100-999,1-4,FALSE,0,0xFFFFFF,
Al_O2,0.6,Al-O2,Al2O3,4-3-2,200-900,1-3,BURN3,8,0xFFFFFF,
Al_S,0.1,Al-S,Al2S3,2-3-1,90-900,1-1,FALSE,1,0xFFFFFF,
Al_ZnCl2,0.6,Al-ZnCl2,AlCl3-Zn,2-3-2-3,0-400,1-4,FALSE,0,0xFFFFFF,
Al2O3_HCl,0.12,Al2O3-HCl,AlCl3-H2O,1-6-2-3,0-900,1-4,FALSE,0.3,0xFFFFFF,
Al2O3_NaOH,0.12,Al2O3-NaOH,NaAlO2-H2O,1-2-2-1,0-900,1-4,FALSE,0.3,0xFFFFFF,
Al2S3_H2O,0.1,Al2S3-H2O,AlOH3-H2S,1-6-2-3,0-900,1-2,FALSE,0,0xFFFFFF,
Al2SO43_KOH,1,Al2SO43-KOH,K2SO4-AlOH3,1-6-3-2,0-400,4-4,FALSE,0.001,0xFFFFFF,
AlCl3_KOH,0.3,AlCl3-KOH,AlOH3-KCl,1-3-1-3,0-900,4-4,FALSE,0.1,0xFFFFFF,
AlCl3_NaOH,0.2,AlCl3-NaOH,AlOH3-NaCl,1-3-1-3,0-900,1-4,FALSE,0.1,0xFFFFFF,
AlCl3_NH3,0.8,AlCl3-NH3,AlOH3-NH4Cl,1-3-1-3-3,0-999,4-4,FALSE,0,0xFFFFFF,H2O
AlOH3_H2SO4,0.1,AlOH3-H2SO4,Al2SO43-H2O,2-3-1-6,0-4000,1-4,FALSE,0.001,0xFFFFFF,
AlOH3_HCl,0.1,AlOH3-HCl,AlCl3-H2O,1-3-1-3,0-4000,1-4,FALSE,0.001,0xFFFFFF,
AlOH3_HNO3,0.1,AlOH3-HNO3,AlNO33-H2O,1-3-1-3,0-4000,1-4,FALSE,0.001,0xFFFFFF,
AlOH3_NaOH,0.1,AlOH3-NaOH,NaAlO2-H2O,1-1-1-2,10-900,1-4,FALSE,0,0xFFFFFF,
As_I2,0.5,As-I2,AsI3,2-3-2,20-900,1-2,FALSE,0,0xFFFFFF,
As_O2,0.6,As-O2,As4O6,4-3-1,400-900,1-3,BURN3,5,0xE3B5B5,
Ba_H2O,0.2,Ba-H2O,BaOH2-H2,1-2-1-1,0-9999,1-2,FALSE,0,0xFFFFFF,
Ba_O2,0.2,Ba-O2,BaO,2-1-2,480-9999,1-3,BURN3,5.0,0x98CA97,
BaCl2_H2SO4,0.1,BaCl2-H2SO4,BaSO4-HCl,1-1-1-2,0-500,4-4,FALSE,0,0xFFFFFF,
BaCl2_Na2SO4,0.3,BaCl2-Na2SO4,BaSO4-NaCl,1-1-1-2,0-200,4-4,FALSE,0,0xFFFFFF,
BaNO32_H2SO4,0.1,BaNO32-H2SO4,HNO3-BaSO4,1-1-2-1,0-500,4-4,FALSE,0,0xFFFFFF,
BaO_H2O,0.1,BaO-H2O,BaOH2,1-1-1,0-900,1-2,FALSE,0,0xFFFFFF,
BaO3_HCl,0.1,BaCO3-HCl,BaCl2-CO2-H2O,1-2-1-1-1,0-500,1-4,FALSE,0,0xFFFFFF,
BaOH2_CuSO4,0.1,BaOH2-CuSO4,BaSO4-CuOH2,1-1-1-1,0-9999,4-4,FALSE,0,0xFFFFFF,
BaOH2_H2SO4,0.3,BaOH2-H2SO4,BaSO4-H2O,1-1-1-2,0-9999,4-4,FALSE,0,0xFFFFFF,
BaOH2_HCl,0.2,BaOH2-HCl,BaCl2-H2O,1-2-1-1,0-9999,4-4,FALSE,0,0xFFFFFF,
BaOH2_HNO3,0.1,BaOH2-HNO3,BaNO32-H2O,1-2-1-2,0-9999,4-4,FALSE,0,0xFFFFFF,
BaOH2_Na2CO3,0.1,BaOH2-Na2CO3,BaCO3-NaOH,1-1-1-2,0-9999,4-4,FALSE,0,0xFFFFFF,
BaOH2_NH4Cl,0.1,BaOH2-NH4Cl,NH3-H2O-BaCl2,1-2-2–2-1,0-999,1-1,FALSE,-1,0xFFFFFF,
C_CO2,0.01,C-CO2,CO,1-1-2,900-4000,1-3,FALSE,-0.3,0xFFFFFF,
C_CuO,0.1,C-CuO,CO2-Cu,1-2-1-2,600-6900,1-1,FALSE,0.1,0xFFFFFF,
C_Fe2O3,0.1,C-Fe2O3,Fe-CO2,3-2-4-3,600-6900,1-1,FALSE,0.1,0xFFFFFF,
C_FeO,0.05,FeO-C,Fe-CO,1-1-1-1,666-4900,1.5-1,FALSE,-0.001,0xFFFFFF,
C_H2SO4,0.2,C-H2SO4,CO2-H2O-SO2,1-2-2-2-2,28-1000,1-4,FALSE,0.2,0xFFFFFF,
C_HNO3,0.1,C-HNO3,CO2-NO2-H2O,1-4-1-4-2,40-4000,1-4,FALSE,0.002,0xFFFFFF,
C_HNO3_2,0.1,C-HNO3,CO2-NO-H2O,3-4-3-4-2,20-4000,1-4,FALSE,0.002,0xFFFFFF,
C_O2,0.100,C-O2,CO,2-1-2,90-4000,1-3,BURN3,3,0xFF0000,
C_O3,0.1,C-O3,CO2-O2,1-3-1-2,-100-999,1-3,FALSE,0,0xFFFFFF,
Ca_H2O,0.1,Ca-H2O,CaOH2-H2,1-2-1-1,10-4000,1-2,FALSE,0.013,0xFFFFFF,
Ca_HCl,0.1,Ca-H2O,CaCl2-H2,1-2-1-1,10-4000,1-2,FALSE,0.013,0xFFFFFF,
Ca_O2,1,Ca-O2,CaO,2-1-2,100-999,1-3,BURN3,4,0xFFFFFF,
CaC2_H2O,0.5,CaC2-H2O,C2H2-CaOH2,1-2-1-1,0-100,1-2,FALSE,0,0xFFFFFF,
CaCl2_Na2CO3,0.2,CaCl2-Na2CO3,CaCO3-NaCl,1-1-1-2,0-1000,4-4,FALSE,0,0xFFFFFF,
CaCO3,0.1,CaCO3,CaO-CO2,2-2-1,700-2500,1,FALSE,-0.3,0xFFFFFF,
CaCO3_HCl,0.8,CaCO3-HCl,CaCl2-H2O-CO2,1-2-1-1-1,0-100,1-4,FALSE,0.01,0xFFFFFF,
CaCO3_H2SO4,0.4,CaCO3-H2SO4,CaSO4-H2O-CO2,1-1-1-1-1,0-100,1-4,FALSE,0,0xFFFFFF,
CaCO3_HNO3,0.1,CaCO3-HNO3,CaNO32-H2O-CO2,1-2-1-1-1,0-4000,1-4,FALSE,0.001,0xFFFFFF,
CaNO32,0.024,CaNO32,NO2-O2-CaO,2-4-1-2,369-4000,1,FALSE,1,0xFFFFFF,
CaO_H2O,0.3,CaO-H2O,CaOH2,1-1-1,0-100,1-2,FALSE,0.02,0xFFFFFF,
CaOH2_CuSO4,0.2,CaOH2-CuSO4,CuOH2-CaSO4,1-1-1-1,0-1000,4-4,FALSE,0.001,0xFFFFFF,
CaOH2_H2SO4,0.3,CaOH2-H2SO4,CaSO4-H2O,1-1-1-2,0-100,4-4,FALSE,0.01,0xFFFFFF,
CaOH2_HCl,0.3,CaOH2-HCl,CaCl2-H2O,1-2-1-2,0-100,4-4,FALSE,0.01,0xFFFFFF,
CaOH2_HNO3,0.1,CaOH2-HNO3,CaNO32-H2O,1-2-1-2,0-4000,4-4,FALSE,0.001,0xFFFFFF,
CaOH2_Na2CO3,0.2,CaOH2-Na2CO3,CaCO3-NaOH,1-1-1-2,0-100,4-4,FALSE,0.01,0xFFFFFF,
CaOH2_NH4Cl,0.7,CaOH2-NH4Cl,NH3-H2O-CaCl2,1-2-2-2-1,0-999,4-4,FALSE,0,0xFFFFFF,
CaOH2_FeCl2,0.7,CaOH2-FeCl2,CaCl2-FeOH2,1-1-1-1,0-999,4-4,FALSE,0,0xFFFFFF,
CaOH2_SO2,0.1,CaOH2-SO2,CaSO3-H2O,1-1-1-1,0-999,4-4,FALSE,0,0xFFFFFF,
Cl2_Cu,0.08,Cu-Cl2,CuCl2,1-1-1,0-300,3-1,FALSE,0.01,0xFFFFFF,
Cl2_FeCl2,0.3,FeCl2-Cl2,FeCl3,2-1-2,0-100,1-4,FALSE,0.01,0xFFFFFF,
Cl2_H2,0.05,Cl2-H2,HCl,1-1-2,0-500,3-3,FALSE,0.01,0xFFFFFF,
Cl2_KI,0.6,Cl2-KI,KCl-I2,1-2-2-1,0-100,4-4,FALSE,0,0xFFFFFF,
Cl2_NH3,2,Cl2-NH3,N2-HCl,2-3-1-6,0-999,3-3,FALSE,0,0xFFFFFF,
CO_O2,0.1,CO-O2,CO2,2-1-2,Ignite,3-3,EXPLODE3,2.2,0x0044FF,
CO2_CaOH2,0.01,CO2-CaOH2,H2O-CaCO3,1-1-1-1,0-100,4-4,FALSE,0.0001,0xFFFFFF,
CO2_NaOH,0.001,CO2-NaOH,H2O-Na2CO3,1-2-1-1,0-100,3.5-4,FALSE,0,0xFFFFFF,
Cs_Br2,0.9,Cs-Br2,CsBr,1-2-2,0-200,1-2,BURN3,8,0xFFFFFF,
Cs_Cl2,1,Cs-Cl2,CsCl,2-1-2,120-800,1.5-3,BURN3,8,0xFFFFFF,
Cs_F2,0.1,Cs-F2,CsF,2-1-2,10-800,1.5-3,BURN3,6,0xFFFFFF,
CsOH_HCl,0.2,CsOH-HCl,CsCl-H2O,1-1-1-1,0-100,4-4,FALSE,0,0xFFFFFF,
Cs_H2O,2,Cs-H2O,CsOH-H2,2-2-2-1,0-100,1.5-1.5,EXPLODE3,4,0xFFFFFF,
Cu_AgNO3,0.8,Cu-AgNO3,CuNO32-Ag,2-1-1-2,0-999,1-4,FALSE,0,0xFFFFFF,
Cu_AgNO3,0.6,Cu-AgNO3,CuNO32-Ag,1-2-1-2,0-400,1-4,FALSE,0,0xFFFFFF,
Cu_H2SO4,0.1,Cu-H2SO4,H2O-SO2-CuO,1-1-2-1-1,55-1000,1-4,FALSE,0.1,0xFFFFFF,
Cu_HgNO32,0.1,Cu-HgNO32,Hg-CuNO32,1-1-1-1,0-900,1-4,FALSE,0.1,0xFFFFFF,
Cu_HNO3,0.1,Cu-HNO3,CuNO32-NO2-H2O,1-4-1-2-2,4-4000,1-4,FALSE,0.003,0xFFFFFF,
Cu_HNO3_2,0.1,Cu-HNO3,CuNO32-NO-H2O,3-8-3-2-4,20-4000,1-4,FALSE,0.001,0xFFFFFF,
Cu_NO2,0.1,Cu-NO2,CuO-N2,1-2-4-1,120-900,1.5-3,FALSE,0.1,0xFFFFFF,
Cu_O2,0.6,Cu-O2,CuO,2-1-2,200-900,1-3,BURN3,1.0,0x92FFB6,
Cu_S,1,Cu-S,Cu2S,2-1-1,90-800,1-1.5,BURN3,1,0xFFFFFF,
Cu2S_HNO3,0.1,Cu2S-HNO3,CuNO32-CuSO4-NO-NO2-H2O,2-14-2-2-5-1-7,0-4000,1-4,FALSE,0,0xFFFFFF,
CuCl2_NaOH,0.2,CuCl2-NaOH,CuOH2-NaCl,1-2-1-2,0-100,4-4,FALSE,0.01,0xFFFFFF,
CuCO3_H2SO4,0.1,CuCO3-H2SO4,CuSO4-H2O-CO2,1-1-1-1-1,0-200,1-4,FALSE,0,0xFFFFFF,
CuCO3_HCl,0.14,CuCO3-HCl,CuCl2-H2O-CO2,1-2-1-1-1,0-200,1-4,FALSE,0,0xFFFFFF,
CuCO3_HNO3,0.12,CuCO3-HNO3,CuNO32-H2O-CO2,1-2-1-1-1,0-200,1-4,FALSE,0,0xFFFFFF,
CuNO32,0.2,CuNO32,CuO-NO2-O2,2-2-4-1,255-1000,1.5,FALSE,0.001,0xFFFFFF,
CuNO32_MgOH2,0.2,CuNO32-MgOH2,CuOH2-MgNO32,1-1-1-1,0-1000,4-4,FALSE,0.001,0xFFFFFF,
CuO_H2SO4,0.1,CuO-H2SO4,H2O-CuSO4,1-1-1-1,40-1000,1-4,FALSE,0.06,0xFFFFFF,
CuO_HCl,0.1,CuO-HCl,H2O-CuCl2,1-2-1-1,40-1000,1-4,FALSE,0.06,0xFFFFFF,
CuO_HNO3,0.2,CuO-HNO3,CuNO32-H2O,1-2-1-1,0-1000,1-4,FALSE,0.001,0xFFFFFF,
CuO_NH3,0.6,CuO-NH3,Cu-H2O-N2,3-2-3-3-1,80-999,1-3,FALSE,0,0xFFFFFF,
CuOH2,0.17,CuOH2,CuO-H2O,1-1-1,80-1000,1,FALSE,0.2,0xFFFFFF,
CuOH2_H2SO4,0.2,CuOH2-H2SO4,CuSO4-H2O,1-1-1-1,0-1000,1-4,FALSE,0.001,0xFFFFFF,
CuOH2_HCl,0.2,CuOH2-HCl,CuCl2-H2O,1-2-1-2,0-1000,1-4,FALSE,0,0xFFFFFF,
CuOH2_HNO3,0.2,CuOH2-HNO3,CuNO32-H2O,1-2-1-2,0-1000,1-4,FALSE,0.001,0xFFFFFF,
CuSO4,0.1,CuSO4,CuO-SO3,1-1-1,200-1000,1,FALSE,0,0xFFFFFF,
CuSO4_MgOH2,0.04,CuSO4-MgOH2,MgOH2-CuSO4,1-1-1-1,0-900,4-4,FALSE,0,0xFFFFFF,
CuSO4_NaOH,0.2,CuSO4-NaOH,Na2SO4-CuOH2,1-2-1-1,0-1000,4-4,FALSE,0.015,0xFFFFFF,
CuSO4_PbNO32,0.7,CuSO4-PbNO32,CuNO32-PbSO4,1-1-1-1,0-400,4-4,FALSE,0,0xFFFFFF,
F2_H2,1,F2-H2,HF,1-1-2,0-100,3-3,EXPLODE2,1,0xFFFFFF,
Fe_AgNO3,0.6,Fe-AgNO3,FeNO32-Ag,1-1-1-1,0-400,1-4,FALSE,0,0xFFFFFF,
Fe_Cl2,0.12,Fe-Cl2,FeCl3,2-3-2,220-900,1-3,BURN3,5,0x995B35,
Fe_CuCl2,0.6,Fe-CuCl2,FeCl2-Cu,1-1-1-1,0-400,1-4,FALSE,0,0xFFFFFF,
Fe_CuNO32,0.9,Fe-CuNO32,Cu-FeNO32,1-1-1-1,0-999,1-4,FALSE,0,0xFFFFFF,
Fe_CuNO32,0.6,Fe-CuNO32,FeNO32-Cu,1-1-1-1,0-400,1-4,FALSE,0,0xFFFFFF,
Fe_CuSO4,0.1,Fe-CuSO4,FeSO4-Cu,1-1-1-1,0-900,1-4,FALSE,0,0xFFFFFF,
Fe_CuSO4,0.1,Fe-CuSO4,FeSO4-Cu,1-1-1-1,0-999,1-4,FALSE,0,0xFFFFFF,
Fe_CuSO4,0.6,Fe-CuSO4,FeSO4-Cu,1-1-1-1,0-400,1-4,FALSE,0,0xFFFFFF,
Fe_FeCl3,0.1,FeCl3-Fe,FeCl2,2-1-3,0-100,1-4,FALSE,0.01,0xFFFFFF,
Fe_FeNO33,0.1,FeNO33-Fe,FeNO32,2-1-3,0-100,1-4,FALSE,0.01,0xFFFFFF,
Fe_H2O,0.02,Fe-H2O,Fe3O4-H2,3-4-1-4,100-900,1-3,FALSE,0.1,0xFFFFFF,
Fe_H2SO4,0.15,Fe-H2SO4,H2-FeSO4,1-1-1-1,0-250,1-4,FALSE,0.15,0xFFFFFF,
Fe_HCl,0.1,Fe-HCl,FeCl2-H2,1-2-1-1,0-900,1-4,FALSE,0,0xFFFFFF,
Fe_HgNO32,0.2,Fe-HgNO32,Hg-FeNO32,1-1-1-1,0-900,1-4,FALSE,0.1,0xFFFFFF,
Fe_HNO3,0.1,Fe-HNO3,FeNO33-NO2-H2O,1-6-1-3-3,60-4000,1-4,FALSE,0.013,0xFFFFFF,
Fe_HNO3_2,0.1,Fe-HNO3,FeNO33-NO-H2O,1-4-1-1-2,10-4000,1-4,FALSE,0.013,0xFFFFFF,
Fe_O2,0.001,Fe-O2,Fe2O3,4-3-2,10-900,1-4,FALSE,0,0xFFFFFF,
Fe_O2,0.1,Fe-O2,Fe2O3,4-3-2,99-999,1-4,FALSE,0,0xFFFFFF,
Fe2O3_CO,0.1,Fe2O3-CO,Fe-CO2,3-1-2-3,600-6900,1-3,FALSE,0.1,0xFFFFFF,
Fe2O3_H2,0.1,Fe2O3-H2,Fe-H2O,1-3-2-3,400-6900,1-3,FALSE,0.1,0xFFFFFF,
