,,,,,,,,,,MM,Sol,Mp,Bp,K,,,,,,,,,,,,,,,,,,,,
CH4,Organic,0,1,Methane,CH4,CH4,0.656,0.656,0.000656,16.04,22.7,-182.5,-161.5,2099,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水,水,水,물,0,0,0,0,0,3
C2H2,Organic,0,1,Acetylene,C2H2,C2H2,0.001097,1,0.001,26.04,0,-80.8,-84,700,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,アセチレン,乙炔,乙炔,아세틸렌,0,0,2,0,0,1
C2H4,Organic,0,1,Ethylene,C2H4,C2H4,1,1,0.001178,28.05,3.5,-169.2,-103.7,7821,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C2H6O,Organic,0,1,Ethanol,C2H6O,C2H6O,0.789,0.789,0.789,46.07,99999,-114.3,78.4,2000,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C2H5Cl,Organic,0,1,Chloroethane,C2H5Cl,C2H5Cl,1,1,0.00898,64.51,0.547,-138.7,12.27,1625,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C2H4Br2,Organic,0,1,Ethylene dibromide,C2H4Br2,C2H4Br2,1,2.18,0.001,187.86,0.4,10.2,133,718,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C5H12,Organic,0,1,Pentane,C5H12,C5H12,0.626,0.626,0.626,72.15,40,-129.1,36.3,2317,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,,0,0,0,0,0,0,0
C6H6,Organic,0,1,Benzene,C6H6,C6H6,0.876,0.876,0.876,78.11,0.2,5.53,80.1,1717,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C6H5Br,Organic,0,1,Bromobenzene,C6H5Br,C6H5Br,1.495,1.495,1.495,157.01,0.041,-30.8,156,2000,0xFFFFFF,1,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C6H6O3S,Organic,0,1,Benzenesulfonic acid,C6H6O3S,C6H6O3S,1.32,1.32,1.32,158.17,99999,51,190,2000,0xFFFFFF,0.5,0xFFFFFF,0.15,0xFFFFFF,0,0xFFFFFF,0,0,0,0,0,0,0,0,0,0,0,0,0
C6H5NO2,Organic,0,1,Nitrobenzene,C6H5NO2,C6H5NO2,1.00,1.12,0.00,123.06,0.19,5.7,210.9,1000,0xFFFFFF,1.0,0xe4c970,0.45,0xFFFFFF,0,0xe4c970,0.15,0,0,0,0,0,0,0,0,0,0,0,0
C12H22O11,Organic,0,1,Sucrose,C12H22O11,C12H22O11,1.587,1,0.001,342.3,2000,186,1000,9999,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,スクロース,蔗糖,蔗糖,자당,0,0,0,0,0,1
CH3COOH,Organic,4,1,Acetic acid,CH3COOH,CH3COOH,2,1.05,0.001,60.05,999999,16,118,966.035,0xFFFFFF,1,0xFFFFFF,0.12,0xFFFFFF,0,0xFFFFFF,0.06,0.5,0.15,酢酸,醋酸,醋酸,아세트산,0,0,0,2,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,